SDS 2.4	AQ Results	1.0
Filename	24 09 2021 hexamers
PlateID	
Assay Type	Absolute Quantification
Run DateTime	24.09.21 12:12:23
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
106	E10	SYBR	SYBR	Unknown	21.850365	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
107	E11	SYBR	SYBR	Unknown	23.700289	81.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
109	E13	SYBR	SYBR	Unknown	21.93309	86.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
110	E14	SYBR	SYBR	Unknown	23.365526	90.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
111	E15	SYBR	SYBR	Unknown	20.714634	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
112	E16	SYBR	SYBR	Unknown	20.508724	86.5	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
113	E17	SYBR	SYBR	Unknown	22.741753	81.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
115	E19	SYBR	SYBR	Unknown	22.20288	85.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
116	E20	SYBR	SYBR	Unknown	23.830002	89.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
117	E21	SYBR	SYBR	Unknown	21.108192	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
118	E22	SYBR	SYBR	Unknown	21.394552	86.7	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
119	E23	SYBR	SYBR	Unknown	22.788635	84.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.063566335													
Slope		cycles/log decade
Y-Intercept		
R^2		



NAP	LPL
	
